batch_name,cohort,date,batch_id,status
Grade 3 27 Sep,Grade 3,27 Sep,174026,created
Grade 4 27 Sep,Grade 4,27 Sep,174027,created
Grade 5 27 Sep,Grade 5,27 Sep,174028,created
Grade 6 27 Sep,Grade 6,27 Sep,174029,created
Grade 7 27 Sep,Grade 7,27 Sep,174030,created
Grade 8 27 Sep,Grade 8,27 Sep,174031,created
Grade 9 27 Sep,Grade 9,27 Sep,174032,created
Grade 10 27 Sep,Grade 10,27 Sep,174033,created
Grade 11 27 Sep,Grade 11,27 Sep,174034,created
Grade 12 27 Sep,Grade 12,27 Sep,174035,created
Grade 3 4 Oct,Grade 3,4 Oct,174036,created
Grade 4 4 Oct,Grade 4,4 Oct,174037,created
Grade 5 4 Oct,Grade 5,4 Oct,174038,created
Grade 6 4 Oct,Grade 6,4 Oct,174039,created
Grade 7 4 Oct,Grade 7,4 Oct,174040,created
Grade 8 4 Oct,Grade 8,4 Oct,174041,created
Grade 9 4 Oct,Grade 9,4 Oct,174042,created
Grade 10 4 Oct,Grade 10,4 Oct,174043,created
Grade 11 4 Oct,Grade 11,4 Oct,174044,created
Grade 12 4 Oct,Grade 12,4 Oct,174045,created
Grade 3 11 Oct,Grade 3,11 Oct,174046,created
Grade 4 11 Oct,Grade 4,11 Oct,174047,created
Grade 5 11 Oct,Grade 5,11 Oct,174048,created
Grade 6 11 Oct,Grade 6,11 Oct,174049,created
Grade 7 11 Oct,Grade 7,11 Oct,174050,created
Grade 8 11 Oct,Grade 8,11 Oct,174051,created
Grade 9 11 Oct,Grade 9,11 Oct,174052,created
Grade 10 11 Oct,Grade 10,11 Oct,174053,created
Grade 11 11 Oct,Grade 11,11 Oct,174054,created
Grade 12 11 Oct,Grade 12,11 Oct,174055,created
Grade 3 18 Oct,Grade 3,18 Oct,174056,created
Grade 4 18 Oct,Grade 4,18 Oct,174057,created
Grade 5 18 Oct,Grade 5,18 Oct,174058,created
Grade 6 18 Oct,Grade 6,18 Oct,174059,created
Grade 7 18 Oct,Grade 7,18 Oct,174060,created
Grade 8 18 Oct,Grade 8,18 Oct,174061,created
Grade 9 18 Oct,Grade 9,18 Oct,174062,created
Grade 10 18 Oct,Grade 10,18 Oct,174063,created
Grade 11 18 Oct,Grade 11,18 Oct,174064,created
Grade 12 18 Oct,Grade 12,18 Oct,174065,created
Grade 3 25 Oct,Grade 3,25 Oct,174066,created
Grade 4 25 Oct,Grade 4,25 Oct,174067,created
Grade 5 25 Oct,Grade 5,25 Oct,174068,created
Grade 6 25 Oct,Grade 6,25 Oct,174069,created
Grade 7 25 Oct,Grade 7,25 Oct,174070,created
Grade 8 25 Oct,Grade 8,25 Oct,174071,created
Grade 9 25 Oct,Grade 9,25 Oct,174072,created
Grade 10 25 Oct,Grade 10,25 Oct,174073,created
Grade 11 25 Oct,Grade 11,25 Oct,174074,created
Grade 12 25 Oct,Grade 12,25 Oct,174075,created
Teacher 4 Oct,Teacher,4 Oct,174076,created
Teacher 25 Oct,Teacher,25 Oct,174077,created
